Author,Closeness centrality
L Barnard,0.058823529411764705
J Wesson,0.058823529411764705
KL Kumar,0.058823529411764705
M Bhattacharya,0.058823529411764705
A Tibuzzi,0.11764705882352941
X Hua,0.11764705882352941
M Kam,0.11764705882352941
P Altankhuyag,0.18382352941176472
D Amarsaikhan,0.18382352941176472
J Hey,0.21008403361344538
AM Agogino,0.21008403361344538
C Newman,0.21008403361344538
C Lohachit,0.23529411764705882
W Fungladda,0.23529411764705882
S Sriboorapa,0.23529411764705882
C Pulkate,0.23529411764705882
N Poosanthanasarn,0.23529411764705882
JS Sandhu,0.29411764705882354
