Author,Degrees
K Pecknold,0
R Rege,0
M Bhattacharya,1
E Krahmer,1
L Barnard,1
B DeRenzi,1
J Wesson,1
KL Kumar,1
S Shahid,1
S Mehad,2
M Mahmud,2
X Hua,2
I Hussein,2
NLM Noor,2
D Amarsaikhan,2
WARWM Isa,2
O Salikhbaeva,2
ML Best,2
M Kam,2
D Thakur,2
A Tibuzzi,2
E Seman,2
E Johnson,2
P Altankhuyag,2
C Putnam,3
P Sirisalee,3
A Lindgren,3
PW Jordan,3
A Seidakmatova,3
J Hey,3
R Holland,3
D Prommin,3
F Chen,3
C Newman,3
C Driesbach,3
AM Agogino,3
H Zhang,3
B Ariyatum,3
E Rose,3
N Poosanthanasarn,4
J Goldsmith,4
B Goldstein,4
KK Mathias,4
S Sriboorapa,4
C Lohachit,4
C Isenhour,4
W Fungladda,4
C Pulkate,4
A Dekhtyar,4
JS Sandhu,5
R Walton,6
HC Comijs,7
FJM Meiland,7
HPJ van Hout,7
E Derksen,7
HG van der Roest,7
RM Droes,7
C Jonker,7
APD Jansen,7
B Kolko,9
