Country,Number of Mentions as Place of Work
NL | n/a,1
US | IT,1
ZA | n/a,1
JP,1
SE | SE,2
DE | n/a,1
US | KH,1
GB | n/a,1
BD | FR,1
NL | NL,1
EG | n/a,1
KP,1
CA | n/a,1
BD,1
GB | US,1
IN,5
CH | CY,1
US | n/a,5
US | KE,2
IT | IE,1
n/a | n/a,1
MY | MY,4
AU,2
GR,6
CH | IN,1
IN | IN,1
NO | NO. DK,1
DE | DE,1
TH,5
UG,2
DE,1
CN,1
BR | BR,1
TH | TH,1
MY,5
GB,1
BR,4
KP | KP,1
US | US,25
NO | NO,1
CN | CN,1
AE | AE,1
KE,7
US | IN,1
ZA | ZA,4
ET,2
AE,1
AU | AU,3
CO | n/a,1
US,72
JP | JP,2
IL,1
ET | IT,1
NL,7
ES,4
CN | n/a,1
BW | NZ,1
NL | ZA,1
BR | n/a,1
CH,1
US | BR,1
TW | GB,1
SG | n/a,1
CY,1
SE,3
ZA,5
US | UG,1
IT,5
GB | GB,1
